id,route,milepost_from,segment_from,milepost_to,segment_to,effective_date,jurisdiction_left,jurisdiction_left_code,jurisdiction_right,jurisdiction_right_code,comments,user_update,year
86560,,100,027896,100.248,027896,1/1/2009,Filer Hd,1020,Filer Hd,1020,,SYSTEM,2014
86561,,100,027897,100.492,027897,1/1/2009,Filer Hd,1020,Filer Hd,1020,,SYSTEM,2014
86562,,100,027898,100.332,027898,1/1/2009,Filer Hd,1020,Filer Hd,1020,,SYSTEM,2014
86563,,100,027899,100.825,027899,1/1/1999,Filer Hd,1020,Filer Hd,1020,,SYSTEM,2014
86564,,100,027900,100.245,027900,12/10/2007,Twinfalls Hd,1410,Twinfalls Hd,1410,,SYSTEM,2014
86565,,100,027901,100.25,027901,12/31/1999,Lakes Hd,1190,Lakes Hd,1190,,SYSTEM,2014
86566,,100,027902,100.4,027902,12/31/1999,Lakes Hd,1190,Lakes Hd,1190,,SYSTEM,2014
86567,,100,027903,100.3,027903,12/31/1999,Lakes Hd,1190,Lakes Hd,1190,,SYSTEM,2014
86568,,100,027904,100.453,027904,5/20/2013,Lakes Hd,1190,Lakes Hd,1190,,SYSTEM,2014
86569,,100,027905,100.625,027905,8/30/2013,Lakes Hd,1190,Lakes Hd,1190,,SYSTEM,2014
86570,,100,027906,100.1,027906,12/31/1999,Jefferson County,260,Jefferson County,260,,SYSTEM,2014
86571,,100,027907,100.35,027907,12/31/1999,Jefferson County,260,Jefferson County,260,,SYSTEM,2014
86572,,100,027908,100.24,027908,12/31/1999,Jefferson County,260,Jefferson County,260,,SYSTEM,2014
86573,,100,027910,100.39,027910,12/31/1999,Jefferson County,260,Jefferson County,260,,SYSTEM,2014
86574,,100,027911,100.3,027911,12/31/1999,Jefferson County,260,Jefferson County,260,,SYSTEM,2014
86575,,100,027913,100.86,027913,12/31/1999,Jefferson County,260,Jefferson County,260,,SYSTEM,2014
86576,,100,027914,100.073,027914,5/20/2013,Boundary County,110,Boundary County,110,,SYSTEM,2014
86577,,100,027915,100.341,027915,5/30/2013,Bonner County,90,Bonner County,90,,SYSTEM,2014
86578,,100,027916,100.321,027916,5/20/2013,Bonner County,90,Bonner County,90,,SYSTEM,2014
86579,,100,027941,100.348,027941,9/1/2011,Malad City,2590,Malad City,2590,,SYSTEM,2014
86580,,100,027943,100.139,027943,9/1/2011,Malad City,2590,Malad City,2590,,SYSTEM,2014
86581,,100,027945,100.133,027945,9/1/2011,Malad City,2590,Malad City,2590,,SYSTEM,2014
86582,,100,027947,100.084,027947,9/1/2011,Malad City,2590,Malad City,2590,,SYSTEM,2014
86583,,100,027948,100.422,027948,9/1/2011,Malad City,2590,Malad City,2590,,SYSTEM,2014
86584,,100,027949,100.163,027949,9/1/2011,Malad City,2590,Malad City,2590,,SYSTEM,2014
86585,,100,027951,100.511,027951,9/1/2011,Malad City,2590,Malad City,2590,,SYSTEM,2014
86586,,100,027952,100.764,027952,9/1/2011,Malad City,2590,Malad City,2590,,SYSTEM,2014
86587,,100,027953,100.374,027953,9/1/2011,Malad City,2590,Malad City,2590,,SYSTEM,2014
86588,,100,027954,100.573,027954,9/1/2011,Malad City,2590,Malad City,2590,,SYSTEM,2014
86589,,100,027955,100.557,027955,9/1/2011,Malad City,2590,Malad City,2590,,SYSTEM,2014
86590,,100,027956,100.433,027956,9/1/2011,Malad City,2590,Malad City,2590,,SYSTEM,2014
86591,,100,027957,100.494,027957,9/1/2011,Malad City,2590,Malad City,2590,,SYSTEM,2014
86592,,100,027958,100.433,027958,9/1/2011,Malad City,2590,Malad City,2590,,SYSTEM,2014
86593,,100,027959,100.782,027959,9/1/2011,Malad City,2590,Malad City,2590,,SYSTEM,2014
86594,,100,027960,100.801,027960,9/1/2011,Malad City,2590,Malad City,2590,,SYSTEM,2014
86595,,100,027961,100.649,027961,9/1/2011,Malad City,2590,Malad City,2590,,SYSTEM,2014
86596,,100,027962,100.197,027962,9/1/2011,Malad City,2590,Malad City,2590,,SYSTEM,2014
86597,,100,027963,100.16,027963,9/1/2011,Malad City,2590,Malad City,2590,,SYSTEM,2014
86598,,100,027964,100.141,027964,9/1/2011,Malad City,2590,Malad City,2590,,SYSTEM,2014
